fitness,lr0,lrf,weight_decay,cls,box,dfl,scale,fliplr
0.1697,0.00085,0.02137,0.00013,0.5704,0.12125,0.68525,0.11009,0.23165
0.21156,0.00071,0.01239,0.00015,0.40315,0.10615,0.52686,0.09059,0.2731
0.17291,0.0007,0.01019,0.00015,0.4,0.11718,0.41555,0.08331,0.21588
0.21649,0.00069,0.01282,0.00015,0.4,0.11399,0.48976,0.08821,0.25739
0.18767,0.00081,0.01597,0.00019,0.4,0.13912,0.52686,0.09059,0.31347
0.17149,0.00088,0.01835,0.00015,0.4,0.11659,0.45506,0.09453,0.25739
0.20695,0.00078,0.01516,9e-05,0.4,0.1222,0.3329,0.08962,0.21863
0.19009,0.00069,0.01282,0.00015,0.4,0.11071,0.48976,0.09182,0.25918
0.18978,0.00076,0.01239,0.00015,0.43155,0.10289,0.52305,0.08784,0.2574
0.21008,0.00059,0.01127,0.00013,0.4,0.14112,0.48976,0.07094,0.25739
0.18926,0.00078,0.01535,9e-05,0.40475,0.12232,0.33043,0.08965,0.21863
0.20344,0.00062,0.0144,0.00015,0.4,0.10895,0.52224,0.10316,0.20599
0.19718,0.00078,0.00877,0.00017,0.4,0.13086,0.42794,0.0925,0.30665
0.20979,0.00068,0.01273,0.00014,0.4315,0.1213,0.46719,0.08527,0.25739
0.20756,0.00083,0.0144,0.00016,0.41103,0.11399,0.46378,0.09385,0.24376
0.19632,0.00069,0.01341,0.00016,0.42573,0.12234,0.47831,0.08821,0.25739
0.20741,0.00069,0.01229,0.00015,0.40798,0.11671,0.48845,0.08712,0.26244
0.1986,0.00068,0.01385,0.00016,0.41734,0.10792,0.48976,0.08821,0.25078
0.19296,0.00071,0.0125,0.00015,0.40122,0.1069,0.52515,0.09114,0.2731
0.2091,0.00058,0.01231,0.00015,0.45172,0.12103,0.43821,0.10162,0.22676
0.19258,0.00046,0.01466,0.00014,0.50642,0.16391,0.4315,0.10463,0.23756
0.18803,0.00067,0.01639,0.00014,0.47957,0.11399,0.49314,0.09503,0.24831
0.20394,0.00053,0.0122,0.00015,0.47479,0.12059,0.63836,0.09129,0.25739
0.19705,0.00072,0.01282,0.00015,0.42965,0.09218,0.45835,0.08666,0.26488
0.19415,0.00074,0.01277,0.00016,0.4,0.11214,0.52139,0.08508,0.2305
0.19784,0.00069,0.0128,0.00015,0.40047,0.11421,0.49018,0.08798,0.25732
0.20865,0.00069,0.01276,0.00015,0.4,0.1115,0.48436,0.08733,0.25739
0.19736,0.00069,0.01286,0.00014,0.41597,0.129,0.48404,0.08886,0.27736
0.19511,0.00075,0.01523,0.00015,0.52616,0.10615,0.66731,0.0953,0.25588
0.19058,0.00069,0.01241,0.00014,0.4,0.11399,0.4351,0.0982,0.24069
0.18365,0.00069,0.0121,0.00017,0.4,0.13295,0.63335,0.08821,0.28887
0.2073,0.00071,0.01282,0.00015,0.40486,0.11774,0.48791,0.08648,0.24773
0.20702,0.00063,0.01127,0.00015,0.4,0.1144,0.49501,0.0818,0.25739
0.20788,0.00064,0.01282,0.00015,0.4,0.10639,0.48593,0.08687,0.31965
0.19778,0.00064,0.01239,0.00015,0.40315,0.11418,0.51588,0.09174,0.32072
0.19532,0.00072,0.01225,0.00015,0.4,0.10127,0.49151,0.08139,0.28327
0.19662,0.00073,0.01116,0.00017,0.49887,0.10861,0.46566,0.10159,0.28274
0.19018,0.00075,0.01342,0.00019,0.48558,0.10615,0.61038,0.08685,0.22578
0.20706,0.00062,0.01282,0.00016,0.4,0.10437,0.5185,0.08571,0.26788
0.19627,0.0008,0.01282,0.00015,0.4,0.08669,0.4498,0.08821,0.20521
0.20102,0.0007,0.01282,0.00015,0.4,0.11399,0.49289,0.08493,0.25739
0.19508,0.00071,0.01183,0.00012,0.52358,0.1164,0.40234,0.10253,0.18617
0.20229,0.00051,0.01168,0.00012,0.43846,0.12917,0.48976,0.06711,0.22691
0.21603,0.00054,0.0115,0.00014,0.40427,0.14112,0.48976,0.07979,0.25257
0.20783,0.0007,0.01308,0.00015,0.40477,0.11151,0.48976,0.08891,0.2532
0.19856,0.0007,0.01331,0.00015,0.4,0.10677,0.46769,0.09444,0.25785
0.21595,0.00053,0.01142,0.00014,0.4,0.13922,0.48337,0.0832,0.26951
0.20821,0.00071,0.00978,0.00014,0.4,0.10615,0.58845,0.08818,0.2097
0.21438,0.00053,0.01109,0.00014,0.4,0.14189,0.47955,0.08118,0.27032
0.20671,0.00053,0.01062,0.00013,0.4,0.12446,0.41563,0.0832,0.26951
0.19804,0.00053,0.0096,0.00016,0.4,0.13922,0.48337,0.09929,0.33132
0.20998,0.00059,0.01286,0.00015,0.4,0.14907,0.52031,0.08541,0.27856
0.2254,0.00055,0.01094,0.00014,0.40427,0.13645,0.48981,0.07979,0.2441
0.20995,0.00053,0.01059,0.00013,0.4,0.14514,0.48268,0.08843,0.26362
0.20751,0.00055,0.01094,0.00014,0.4,0.15174,0.61109,0.07979,0.25749
0.20843,0.00054,0.01108,0.00014,0.4,0.11935,0.4848,0.07979,0.32556
0.18344,0.0008,0.0133,0.00014,0.4836,0.09438,0.49721,0.08657,0.30712
0.21679,0.00069,0.01282,0.0001,0.41975,0.10719,0.56184,0.07514,0.25739
0.21279,0.00055,0.01253,0.00016,0.40427,0.12975,0.48981,0.07979,0.22907
0.21453,0.00055,0.01094,0.00014,0.40531,0.13478,0.48981,0.07784,0.24988
0.20466,0.00052,0.01129,0.00014,0.43305,0.13095,0.55065,0.08332,0.24005
0.20398,0.00056,0.01562,0.00013,0.4,0.11049,0.37136,0.08821,0.22423
0.22953,0.00066,0.01174,0.00012,0.4,0.13475,0.61896,0.05459,0.22748
0.21262,0.00057,0.01111,0.00016,0.4,0.11399,0.40522,0.09794,0.26129
0.21547,0.00066,0.01174,0.00013,0.4,0.13475,0.54298,0.05627,0.2014
0.19181,0.00066,0.01129,0.00012,0.4,0.14429,0.61896,0.05733,0.23824
0.19171,0.00069,0.01245,0.00013,0.44568,0.14132,0.50225,0.05046,0.24359
0.18377,0.00046,0.01149,0.00015,0.5479,0.13645,0.37084,0.0965,0.26812
0.19822,0.0005,0.0085,0.00014,0.4,0.17407,0.48981,0.10422,0.22675
0.22032,0.00071,0.01174,0.00012,0.4,0.12228,0.62713,0.05459,0.22748
0.21833,0.00047,0.01376,0.00015,0.40427,0.14372,0.4266,0.08047,0.2441
0.20538,0.00057,0.01103,0.00013,0.40427,0.13645,0.53177,0.07979,0.2441
0.20868,0.00049,0.01376,0.00013,0.40427,0.14372,0.39444,0.07669,0.22672
0.23165,0.00055,0.01179,0.00014,0.41714,0.13495,0.48981,0.07979,0.28665
0.20905,0.00055,0.01176,0.00014,0.4153,0.13581,0.49323,0.07979,0.28606
0.22465,0.00049,0.01079,0.00014,0.441,0.14702,0.55377,0.06807,0.24977
0.22199,0.00063,0.01197,8e-05,0.54331,0.11173,0.6432,0.0487,0.22748
0.21041,0.00055,0.0119,0.00016,0.42296,0.13536,0.52915,0.06586,0.28639
0.22149,0.00055,0.01122,0.00014,0.40855,0.1361,0.48981,0.07979,0.23813
0.23404,0.00066,0.01145,0.00012,0.4,0.13414,0.67779,0.05098,0.22748
0.21602,0.00067,0.01145,0.00012,0.4,0.1292,0.67898,0.05097,0.22785
0.21387,0.00067,0.01174,0.00012,0.4,0.11695,0.66034,0.05505,0.24327
0.22651,0.00066,0.01131,0.00012,0.4,0.12456,0.6539,0.05146,0.22245
0.22126,0.00066,0.01145,0.00013,0.4,0.13366,0.7115,0.05206,0.23564
0.23242,0.00071,0.01131,0.00013,0.4,0.12873,0.67028,0.05002,0.20274
0.21523,0.00065,0.01197,0.00012,0.41351,0.13475,0.62261,0.05661,0.22554
0.20583,0.00066,0.01138,0.00012,0.41126,0.13475,0.61896,0.05409,0.22572
0.21143,0.00054,0.01062,0.00014,0.40711,0.13124,0.48624,0.07979,0.28578
0.19863,0.00076,0.01131,0.00013,0.40811,0.12015,0.67028,0.04486,0.21225
0.19078,0.00063,0.00632,0.00014,0.4,0.12873,0.30616,0.0907,0.25849
