epoch,loss_classifier,loss_box_reg,loss_objectness,loss_rpn_box_reg,loss_total,mAP,precision,recall
1,0.012156864699263255,0.007623092119065557,0.06083413722470056,0.011113080437532284,0.13108104562690093,0.006671863963747961,0.0077471335605825845,0.1557632398753894
10,0.00746648967825147,0.00982914854390655,0.003591881203329797,0.00433719854479636,0.05234225200378163,0.7880857647337804,0.23934837092731828,0.8925233644859814
20,0.00476378331480847,0.009433181299882139,0.0014166181602821208,0.0027399198185543523,0.04195170725481233,0.9032923606168294,0.40977198697068407,0.9797507788161994
30,0.0028192326094315747,0.004243331210048826,0.0009100224481720266,0.0012674194634962267,0.020442191750272433,0.9055005729029393,0.8428005284015853,0.9937694704049844
40,0.004298531468793425,0.009774396961506154,0.0008994636428449371,0.0021173447101128385,0.040861923774828876,0.9019365314914849,0.725,0.9937694704049844
50,0.002568531906585714,0.005374926117013295,0.0004413244711708272,0.0008548257823664181,0.022432871536418746,0.9047490498946947,0.9398826979472141,0.9984423676012462
60,0.0017720747591388364,0.002540693200751056,0.0003557059261512159,0.0004407369570091448,0.011813387325028723,0.9057105995682686,0.9639097744360903,0.9984423676012462
70,0.0015935951988357909,0.0019508736897774345,0.00036887164944959675,0.0003873308113630036,0.009654120638885594,0.9969086776791822,0.9610778443113772,1.0
80,0.003490878243668661,0.0072063491896314676,0.0011439056523708723,0.0019461547178548774,0.03170099917008693,0.9043497753987557,0.7013129102844639,0.9984423676012462
90,0.0026664743190682656,0.0065767965980041984,0.0002847975041530908,0.0006547956462766304,0.02586807174171808,0.9968249715018578,0.9567809239940388,1.0
100,0.0019108039957144343,0.0037564720134765214,0.00021874915556815912,0.0004012257270486834,0.01556133967105145,0.9981670837422708,0.9539375928677564,1.0
110,0.0014310807098618804,0.002376992467467316,0.00018086072232954606,0.00030320870748882004,0.010346041768185005,0.9975822674312326,0.9567809239940388,1.0
120,0.001239194913644047,0.0017260017647099312,0.00010400772040490009,0.00020944678985632318,0.007822712393323305,0.9985975046458919,0.981651376146789,1.0
130,0.0011083331903182921,0.001179922450446188,0.0001012635684356758,0.00015343331229817437,0.005859273464441785,0.9981138325226017,0.9846625766871165,1.0
